,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
Unidade 1 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0220000001,0.0,5.31561108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09200000000000001,2.9434636e-16,2.4371666000000003,0.0,0.0,2.738444436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 3 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0220000001,0.0,0.0,0.0,4.32150004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09200000000000001,2.9434636e-16,0.0,5.1756112000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 5 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0220000001,5.31561108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09200000000000001,2.9434636e-16,0.0,0.0,4.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 7 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0220000001,0.0,0.0,4.27449997,0.046999999800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.1997778,2.9434636e-16,0.0,0.0,0.0,1.06783334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 9 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0220000001,1.47150003,0.0,0.0,0.0,0.0,2.8499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 10,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09200000000000001,1.76288888,0.0,0.52488888,0.0,1.8937222360000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
