Unidade,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
0,1,0,1,1,3,3,0,2,0,4,4,4,3,2,2,3,2,3,0,0,0,0,1,3
1,1,0,0,1,0,0,0,0,1,0,0,2,2,0,2,1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2
3,0,2,3,0,0,0,0,0,0,1,2,0,1,0,1,2,0,1,0,0,0,0,0,0
4,1,1,1,3,1,1,1,3,1,0,1,4,4,4,3,3,3,1,4,0,3,1,3,1
5,2,3,2,1,4,3,1,0,4,2,1,4,3,3,2,4,1,3,0,0,2,0,3,1
6,3,1,3,2,0,1,1,2,0,0,2,3,3,1,3,0,2,0,0,1,0,0,0,0
7,1,0,1,0,0,2,1,0,3,1,3,3,1,4,1,0,3,0,3,2,0,0,2,1
8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0
9,1,0,1,1,3,3,2,4,3,1,2,1,1,3,2,4,4,3,3,2,4,4,4,1
